period,separationsCount,attritionRate,headcount,ageMeanYrs,tenureMeanYrs,recognitionEvents,supervisorsCount,lowPerffCount,highPerfCount,timeID
201507,285,0.009724307356353214,29308,38.35918804876939,9.873777353168647,4699,4560,1229,7374,67
201508,195,0.006670315386194158,29234,38.43135561332695,9.911815009919957,4450,4579,1186,7341,68
201509,188,0.006405451448040886,29350,38.47298126064736,9.92072969903464,4169,4618,1158,7300,69
201510,279,0.009391409721287195,29708,38.39905076073785,9.846088034648355,5209,4666,1136,7278,70
201511,184,0.006159614354579539,29872,38.39017586145331,9.820291577396894,3927,4680,1111,7233,71
201512,201,0.006689519752387926,30047,38.407999689375536,9.814260436427375,4235,4691,1096,7204,72
201601,211,0.006978436301098029,30236,38.442273559112756,9.803867905807646,5296,4715,1080,7176,73
201602,128,0.00423981450811527,30190,38.50672408082146,9.858060064038865,5609,4738,1066,7155,74
201603,84,0.00278468423669816,30165,38.579156306978284,9.922133819548042,7267,4747,1049,7243,75
201604,188,0.006212206324554737,30263,38.61401160933593,9.954347442972166,5434,4737,1359,9344,76
201605,296,0.009863378873708764,30010,38.66010496501166,10.027965678107298,5401,4762,1287,9623,77
201606,177,0.005898033988670443,30010,38.712895701432856,10.057289236921026,5459,4821,1224,9764,78
201607,249,0.008214297496123775,30313,38.65379815040851,10.007483038080471,6297,4873,1206,9769,79
201608,194,0.006371309402607639,30449,38.622431497476654,9.998095175539428,4817,4888,1170,9736,80
201609,206,0.006743485661909127,30548,38.63634553271354,10.013189625070927,7394,4912,1083,9583,81
201610,216,0.0070558259562930785,30613,38.65647491806313,10.044088023606529,6211,4917,1045,9525,82
201611,167,0.005460371436044991,30584,38.697456186241176,10.097946093818118,4889,4861,948,9419,83
201612,194,0.006499597963012597,29848,38.56216217725364,10.144844992405968,6677,4833,873,8756,84
201701,295,0.009892026021058278,29822,38.611547962354415,10.182479936512195,5619,4799,827,8651,85
201702,164,0.0055606415081544775,29493,38.60484691282677,10.206365352230472,4623,4762,799,8614,86
201703,124,0.004217687074829932,29400,38.641122448979594,10.23625,7516,4763,1022,9008,87
201704,218,0.006667278343578922,32697,38.422857346749446,10.093275631811277,6174,4981,995,8990,88
201705,306,0.00939601437037492,32567,38.48768180468982,10.141439186906991,4476,4987,957,8906,89
201706,270,0.008331790409183484,32406,38.58834012219959,10.200883581229814,6607,5107,957,8903,90
201707,299,0.009220995497440326,32426,38.633092785624704,10.203008388330352,6305,5088,933,8838,91
201708,230,0.007105344454742045,32370,38.676034908866235,10.21300329523221,5205,5080,900,8798,92
201709,186,0.005741626794258373,32395,38.73023100272676,10.239005504964757,6243,5130,877,8660,93
201710,287,0.00878293601003764,32677,38.713304974956905,10.18103967112444,7155,5107,867,8620,94
201711,193,0.005892769907181241,32752,38.25960246702491,10.179482677902621,6815,4987,855,8566,95
201712,188,0.0057919221171323825,32459,38.61778191975518,9.98750988426425,5634,4937,846,8427,96
201801,230,0.007028265851795263,32725,38.714479246243954,10.04166030048383,6478,5005,894,8451,97
201802,127,0.003894391463003281,32611,38.74211922357487,10.08822943178682,5751,4986,942,8431,98
201803,66,0.0020219968750957384,32641,38.654675101865756,10.000354870663685,7344,4987,1472,8887,99
201804,218,0.006608463683763793,32988,38.74235075380947,10.044890061032294,6575,4997,1492,8865,100
201805,283,0.008563560988894605,33047,38.76807778820064,10.057113101542248,10340,5059,1444,8829,101
201806,225,0.006799431869692666,33091,38.796639066009895,10.069371833227565,7430,5082,1394,8783,102
201807,216,0.006474820143884892,33360,38.799557853717026,10.027303157474021,7226,5104,1364,8754,103
201808,204,0.0060930079746722024,33481,38.83010513425525,10.016628834264209,6995,5118,1335,8728,104
201809,199,0.005929501504722744,33561,38.74338517922589,9.925555952842089,7781,5140,1307,8689,105
201810,217,0.006419168762017453,33805,38.82292806784006,9.984792683528077,7888,5199,1278,8558,106
201811,180,0.005273180020506811,34135,38.731038523509596,9.911364191201601,8224,5216,1252,8513,107
201812,109,0.003171093590899834,34373,38.6207464191856,9.80673542218214,9586,5192,1237,8487,108
201901,226,0.006514282420084744,34693,38.67319295919446,9.827150529885952,8156,5224,1213,8454,109
201902,103,0.0029639434836407587,34751,38.700879111392474,9.835443584357284,7410,5211,2082,9127,110
201903,78,0.0022220323049312023,35103,38.60425272293916,9.715105071741258,9644,5233,2100,9124,111
201904,190,0.005356035406213001,35474,38.68356871699461,9.763625002349139,7782,5278,2137,9110,112
201905,270,0.007636610476298223,35356,38.517960176490554,9.61235716710035,7188,5279,1817,9065,113
201906,214,0.006096345041734325,35103,38.45829891082433,9.576244670446021,9373,5270,1652,8908,114
201907,233,0.006623269564228659,35179,38.4848726039209,9.568265158190966,9562,5285,1409,8840,115
201908,26,7.446442891511055e-4,34916,38.413814583572,9.480417287203574,7916,5270,1031,8785,116
201909,178,0.005053659644540344,35222,38.272911816478334,9.342063672326008,10332,5332,1017,8746,117
